in_sample_acc,validation_acc
0.9660363723955196,0.9638728323699421
0.9820546790316753,0.9715799614643545
0.9868722148620981,0.976878612716763
0.9866313380705769,0.9759152215799615
0.9863904612790557,0.9672447013487476
0.9943393953992533,0.9792870905587668
0.9880765988197037,0.9797687861271677
0.9987956160423943,0.9821772639691715
0.9962664097314223,0.9797687861271677
0.9989160544381549,0.983140655105973
0.9978321088763098,0.9749518304431599
0.9986751776466337,0.9802504816955684
0.9956642177526195,0.9773603082851637
0.9979525472720704,0.9763969171483622
0.9966277249187041,0.9759152215799615
0.9980729856678309,0.9773603082851637
0.9992773696254366,0.9792870905587668
0.997470793689028,0.9763969171483622
0.9979525472720704,0.9797687861271677
0.9989160544381549,0.9812138728323699
0.9992773696254366,0.9826589595375722
0.998313862459352,0.9807321772639692
0.9987956160423943,0.9788053949903661
0.9990364928339155,0.9797687861271677
1.0,0.9860308285163777
0.9980729856678309,0.9802504816955684
0.9996386848127183,0.9783236994219653
0.9993978080211972,0.9836223506743738
0.9998795616042394,0.9807321772639692
0.9993978080211972,0.9807321772639692
