meantestscore,meantrainscore,stdtestscore,stdtrainscore,paramC,paramgamma,meanfittime
0.10568400770712909,1.0,0.0009537085680743411,0.0,0.1,1,84.81793681780498
0.13468208092485548,1.0,0.045575019785118166,0.0,1,10,83.06651639938354
0.1359344894026975,1.0,0.0453049982891233,0.0,10,10,82.95840032895406
0.1359344894026975,1.0,0.0453049982891233,0.0,100,10,83.37647430102031
0.1569364161849711,1.0,0.005442946779123517,0.0,1,1,84.98732892672221
0.16676300578034683,1.0,0.005218343955279707,0.0,10,1,84.76124374071757
0.16676300578034683,1.0,0.005218343955279707,0.0,100,1,84.81827664375305
0.3787090558766859,0.671242774566474,0.024416216597554507,0.02037145174498435,0.1,0.1,82.69148310025533
0.7266859344894027,1.0,0.11142841932517142,0.0,0.1,10,83.08815701802571
0.8135838150289018,1.0,0.0054887936544293645,0.0,1,0.1,83.28465565045674
0.8251445086705202,1.0,0.0057995826371068865,0.0,10,0.1,83.78255208333333
0.8251445086705202,1.0,0.0057995826371068865,0.0,100,0.1,83.88373629252116
0.9082851637764933,0.9198940269749518,0.004467060932319708,0.0019399836768403107,0.1,0.01,26.5766286055247
0.9577071290944124,0.9848265895953757,0.0030434622348615185,0.0010081141395209977,1,0.01,13.379605611165365
0.9657032755298651,0.9998073217726398,0.00238718915093717,6.812204057676808e-05,10,0.01,12.570396105448404
0.9659922928709056,1.0,0.0019790595938510625,0.0,100,0.01,12.55270536740621
